epoch,global_step,mixer,rank,seed,train_loss,eval_loss,best_eval_loss,lr,seconds,params,max_mem_gb,tokens,nystrom_landmarks
36,24372,mha,32,1,0.16014972191573598,0.15524087265133857,0.14804737493395806,3.015298778575219e-05,231.52,22164868,22.161,784,
37,25049,mha,32,1,0.1600891622760095,0.1524352166056633,0.14804737493395806,2.638415204317636e-05,231.51,22164868,22.161,784,
38,25726,mha,32,1,0.15896319887398616,0.1537730038166046,0.14804737493395806,2.2825637901953803e-05,231.54,22164868,22.161,784,
39,26403,mha,32,1,0.15877980025735527,0.1529871840775013,0.14804737493395806,1.949268346595027e-05,231.52,22164868,22.161,784,
40,27080,mha,32,1,0.16001847800159033,0.14849094152450562,0.14804737493395806,1.6399560957745197e-05,231.47,22164868,22.161,784,
41,27757,mha,32,1,0.1593912380418714,0.1557240031659603,0.14804737493395806,1.3559515602783523e-05,231.51,22164868,22.161,784,
42,28434,mha,32,1,0.1571145495138457,0.15252624675631524,0.14804737493395806,1.0984708911286883e-05,231.52,22164868,22.161,784,
43,29111,mha,32,1,0.1592382124378903,0.1493709233403206,0.14804737493395806,8.686166600799799e-06,231.49,22164868,22.161,784,
44,29788,mha,32,1,0.15874747565481123,0.15055038198828696,0.14804737493395806,6.67373138237441e-06,231.51,22164868,22.161,784,
45,30465,mha,32,1,0.15850624251709028,0.15505655139684676,0.14804737493395806,4.956020812570686e-06,231.49,22164868,22.161,784,
46,31142,mha,32,1,0.15857604350702098,0.1566406759619713,0.14804737493395806,3.54039039175624e-06,231.52,22164868,22.161,784,
47,31819,mha,32,1,0.15849268249341975,0.14830866783857347,0.14804737493395806,2.43290206672455e-06,231.52,22164868,22.161,784,
48,32496,mha,32,1,0.15849851129062068,0.15256230413913727,0.14804737493395806,1.6382982725080793e-06,231.54,22164868,22.161,784,
