length,layer,metric,count,min,p01,p10,median,p90,p99,max
2048,1,adjoint_ratio,384,0.4819382939138493,0.48295112253043665,0.4901520412312944,0.49709033298901645,0.5038151064816754,0.5076410514835354,0.5112602196250119
2048,1,state_bound_usage,384,0.4380967153172571,0.4453236901502491,0.5314151448487969,0.6153650906205786,0.7284272220888024,0.813082502825859,0.8206525468744345
2048,1,adjoint_bound_usage,384,0.6027318376426573,0.6128115021910713,0.6497369758164013,0.6932855378335969,0.7549862673422773,0.8192595893811485,0.824496291421959
2048,2,q,384,0.8750050067901611,0.8750050067901611,0.8802845478057861,0.8891700506210327,0.8945820331573486,0.8958367109298706,0.8958367109298706
2048,2,contraction_slack,384,0.1041632890701294,0.1041632890701294,0.10541796684265137,0.11082994937896729,0.11971545219421387,0.12499499320983887,0.12499499320983887
2048,2,mu,384,1.2123940873660182,1.2201726216856206,1.312894903536874,1.4443203536849607,1.5955123082573022,1.6360666131804926,1.6498369902943324
2048,2,state_ratio,384,0.5063042943066536,0.5103974801647405,0.5212751424219971,0.5560667783381206,0.6478562913199557,0.7099656776563208,0.7127488203111128
2048,2,adjoint_ratio,384,0.4941556224700963,0.4953302992928973,0.49868356635609706,0.502849883211905,0.5073988771816293,0.5117995604081902,0.5132050056849431
2048,2,state_bound_usage,384,0.7146247166113032,0.7179261921587564,0.7821294883053941,0.8390848214078503,0.8887064722887205,0.9139934606109927,0.9156470044155849
2048,2,adjoint_bound_usage,384,0.6111060962079052,0.6152851003480226,0.6656457156519867,0.7267343889280069,0.7968279778782322,0.8168417879067434,0.824573503798554
2048,3,q,384,0.8773477673530579,0.8773477673530579,0.8843401670455933,0.8901233673095703,0.8951756358146667,0.9000760316848755,0.9000760316848755
2048,3,contraction_slack,384,0.09992396831512451,0.09992396831512451,0.10482436418533325,0.10987663269042969,0.11565983295440674,0.12265223264694214,0.12265223264694214
2048,3,mu,384,1.1666835118512837,1.1734698005517175,1.2333601334718673,1.4083849631047214,1.544701583964042,1.6342904955220532,1.6395727673967588
2048,3,state_ratio,384,0.5036979946294747,0.5092973441514014,0.5307419090156491,0.6076341680460655,0.6606102528532385,0.7279088575358501,0.7320207214686838
2048,3,adjoint_ratio,384,0.4939367998620331,0.497613154658525,0.5005862245354671,0.5044774488917492,0.509241101457205,0.5134043257691036,0.5152430851006405
2048,3,state_bound_usage,384,0.6671135377322416,0.6714102953370349,0.7658390944887936,0.8448265180883769,0.9036170057250934,0.9276301707158419,0.9329306329964498
2048,3,adjoint_bound_usage,384,0.5805956038509046,0.5941286252610088,0.61937187481822,0.7114861936432155,0.7785629149304008,0.8220745186198904,0.8261861022908445
2048,4,q,384,0.8828477263450623,0.8828477263450623,0.8863855004310608,0.8913772702217102,0.8972045183181763,0.8991700410842896,0.8991700410842896
2048,4,contraction_slack,384,0.10082995891571045,0.10082995891571045,0.10279548168182373,0.1086227297782898,0.11361449956893921,0.11715227365493774,0.11715227365493774
2048,4,mu,384,1.1921001901655381,1.1982434045486212,1.216026458678021,1.3607595864095745,1.53753880735372,1.617432575489875,1.6243177781755336
2048,4,state_ratio,384,0.5131054003344176,0.5164003171690782,0.5300247153150881,0.5799259564827335,0.670642042145076,0.7161474714495345,0.7186708641174321
2048,4,adjoint_ratio,384,0.4956731476154242,0.4973948060360285,0.5001179918809044,0.5044147601762123,0.5101014642789822,0.5141417363933123,0.5173083848593785
2048,4,state_bound_usage,384,0.6338164757036793,0.6430836497299109,0.7403909151714348,0.8236898751941136,0.8666896257787112,0.9119137009703133,0.9143298704655893
2048,4,adjoint_bound_usage,384,0.6009087192529938,0.6033904794999903,0.6159684077513915,0.6883219809812029,0.7746900363472528,0.8112563933940626,0.8159307779964977
2048,5,q,384,0.8868122100830078,0.8868122100830078,0.8875082731246948,0.8911207616329193,0.8946085572242737,0.8959724307060242,0.8959724307060242
2048,5,contraction_slack,384,0.10402756929397583,0.10402756929397583,0.10539144277572632,0.10887923836708069,0.11249172687530518,0.11318778991699219,0.11318778991699219
2048,5,mu,384,1.2341870699145987,1.2369433060069703,1.26505367844165,1.3830414308562582,1.514539431113061,1.5637851617195602,1.565971789374975
2048,5,state_ratio,384,0.5111825324769774,0.5139654400132033,0.5268505176631437,0.5751884016211776,0.6329465562690261,0.6912759554617034,0.6958883348677136
2048,5,adjoint_ratio,384,0.4957170846477338,0.4968726499677903,0.49996569496872295,0.5051321271902856,0.5102948756606422,0.5138855407238611,0.5147584204065413
2048,5,state_bound_usage,384,0.6902490565776321,0.6973448759998685,0.7221462696865302,0.826361507876274,0.8828756760261016,0.8911745562401374,0.8958950014871236
2048,5,adjoint_bound_usage,384,0.6214577643498915,0.6254614509710724,0.6405222157033368,0.6960331484028688,0.7616424270537435,0.7889111850041407,0.7943549082618758
